source,target,material,year,value
Mechanical Engineering,products,Mechanical engineering,2016,58.45831169577716
uk_intermediate,Automotive,Hot rolled bars in lengths,2016,18.503771332275974
Automotive,scrap,scrap Hot rolled bars in lengths,2016,0.18503771332275976
Automotive,products,Vehicles,2016,18.318733618953214
uk_intermediate,Electrical,Hot rolled bars in lengths,2016,5.442285685963522
Electrical,scrap,scrap Hot rolled bars in lengths,2016,0.054422856859635216
Electrical,products,Electrical engineering,2016,5.387862829103886
uk_intermediate,Other Transport,Hot rolled bars in lengths,2016,3.809599980174465
Other Transport,scrap,scrap Hot rolled bars in lengths,2016,0.038095999801744655
Other Transport,products,Shipbuilding,2016,3.7715039803727204
uk_intermediate,Tubes,Hot rolled bars in lengths,2016,0.0
Tubes,scrap,scrap Hot rolled bars in lengths,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Hot rolled bars in lengths,2016,72.38239962331484
Metal Goods,scrap,scrap Hot rolled bars in lengths,2016,0.7238239962331484
Metal Goods,products,Metal goods,2016,71.65857562708169
uk_intermediate,Other sectors,Hot rolled bars in lengths,2016,45.17097119349723
Other sectors,scrap,scrap Hot rolled bars in lengths,2016,0.45170971193497234
Other sectors,products,Other industries,2016,44.719261481562256
uk_production,uk_intermediate,Light sections,2016,93.14913758921486
uk_production,exports,Light sections,2016,95.5
imports,uk_intermediate,Light sections,2016,25.2
uk_intermediate,Construction,Light sections,2016,39.76531022997621
Construction,scrap,scrap Light sections,2016,0.3976531022997621
Construction,products,Structural steelwork and building and civil engineering,2016,39.367657127676445
uk_intermediate,Mechanical Engineering,Light sections,2016,41.89559470658207
Mechanical Engineering,scrap,scrap Light sections,2016,0.4189559470658207
Mechanical Engineering,products,Mechanical engineering,2016,41.47663875951625
uk_intermediate,Automotive,Light sections,2016,17.16062495043616
Automotive,scrap,scrap Light sections,2016,0.1716062495043616
Automotive,products,Vehicles,2016,16.989018700931798
uk_intermediate,Electrical,Light sections,2016,0.23669827517842978
Electrical,scrap,scrap Light sections,2016,0.0023669827517842977
Electrical,products,Electrical engineering,2016,0.2343312924266455
uk_intermediate,Other Transport,Light sections,2016,0.11834913758921489
Other Transport,scrap,scrap Light sections,2016,0.0011834913758921488
Other Transport,products,Shipbuilding,2016,0.11716564621332275
uk_intermediate,Tubes,Light sections,2016,0.0
Tubes,scrap,scrap Light sections,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Light sections,2016,7.100948255352893
Metal Goods,scrap,scrap Light sections,2016,0.07100948255352893
Metal Goods,products,Metal goods,2016,7.0299387727993645
uk_intermediate,Other sectors,Light sections,2016,11.953262896510704
Other sectors,scrap,scrap Light sections,2016,0.11953262896510705
Other sectors,products,Other industries,2016,11.833730267545597
uk_production,uk_intermediate,Railway track material,2016,129.22029549677077
uk_production,exports,Railway track material,2016,61.779704503229226
imports,uk_intermediate,Railway track material,2016,154.0606033796337
uk_intermediate,Construction,Railway track material,2016,254.95280898876405
Construction,scrap,scrap Railway track material,2016,2.5495280898876405
Construction,products,Structural steelwork and building and civil engineering,2016,252.4032808988764
uk_intermediate,Mechanical Engineering,Railway track material,2016,28.32808988764045
Mechanical Engineering,scrap,scrap Railway track material,2016,0.2832808988764045
Mechanical Engineering,products,Mechanical engineering,2016,28.044808988764043
uk_intermediate,Automotive,Railway track material,2016,0.0
Automotive,scrap,scrap Railway track material,2016,0.0
Automotive,products,Vehicles,2016,0.0
uk_intermediate,Electrical,Railway track material,2016,0.0
Electrical,scrap,scrap Railway track material,2016,0.0
Electrical,products,Electrical engineering,2016,0.0
uk_intermediate,Other Transport,Railway track material,2016,0.0
Other Transport,scrap,scrap Railway track material,2016,0.0
Other Transport,products,Shipbuilding,2016,0.0
uk_intermediate,Tubes,Railway track material,2016,0.0
Tubes,scrap,scrap Railway track material,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Railway track material,2016,0.0
Metal Goods,scrap,scrap Railway track material,2016,0.0
Metal Goods,products,Metal goods,2016,0.0
uk_intermediate,Other sectors,Railway track material,2016,0.0
Other sectors,scrap,scrap Railway track material,2016,0.0
Other sectors,products,Other industries,2016,0.0
uk_production,uk_intermediate,Reinforcing bar,2016,187.91463923258723
uk_production,exports,Reinforcing bar,2016,152.08536076741277
imports,uk_intermediate,Reinforcing bar,2016,147.5476157375226
uk_intermediate,Construction,Reinforcing bar,2016,335.4622549701098
Construction,scrap,scrap Reinforcing bar,2016,3.3546225497010984
Construction,products,Structural steelwork and building and civil engineering,2016,332.1076324204087
uk_intermediate,Mechanical Engineering,Reinforcing bar,2016,0.0
Mechanical Engineering,scrap,scrap Reinforcing bar,2016,0.0
Mechanical Engineering,products,Mechanical engineering,2016,0.0
uk_intermediate,Automotive,Reinforcing bar,2016,0.0
Automotive,scrap,scrap Reinforcing bar,2016,0.0
Automotive,products,Vehicles,2016,0.0
uk_intermediate,Electrical,Reinforcing bar,2016,0.0
Electrical,scrap,scrap Reinforcing bar,2016,0.0
Electrical,products,Electrical engineering,2016,0.0
uk_intermediate,Other Transport,Reinforcing bar,2016,0.0
Other Transport,scrap,scrap Reinforcing bar,2016,0.0
Other Transport,products,Shipbuilding,2016,0.0
uk_intermediate,Tubes,Reinforcing bar,2016,0.0
Tubes,scrap,scrap Reinforcing bar,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Reinforcing bar,2016,0.0
Metal Goods,scrap,scrap Reinforcing bar,2016,0.0
Metal Goods,products,Metal goods,2016,0.0
uk_intermediate,Other sectors,Reinforcing bar,2016,0.0
Other sectors,scrap,scrap Reinforcing bar,2016,0.0
Other sectors,products,Other industries,2016,0.0
uk_production,uk_intermediate,Rods,2016,563.3928250814492
uk_production,exports,Rods,2016,491.41463923258726
imports,uk_intermediate,Rods,2016,476.75238426247734
uk_intermediate,Construction,Rods,2016,488.8682483916456
Construction,scrap,scrap Rods,2016,4.8886824839164555
Construction,products,Structural steelwork and building and civil engineering,2016,483.9795659077291
